,Date,Symbol,ID,Average_Price,Capital,End_Cash,Portfolio_Value,Profit_per_Share,Return_rate,Share_Price,Shares,Start_Cash,Total_Profit,Trade_Value,Type
23,1/4/2016,685,scb_16665,1.14,130000,130000,0,0,0.00%,1.14,0,130000,0,0,Sell
24,1/4/2016,808,scb_9657,2.78,330000,62842,267158,0,0.00%,2.78,96100,330000,0,267158,Buy
25,1/4/2016,862,scb_19814,0.39,870000,870000,0,0,0.00%,0.39,0,870000,0,0,Sell
26,1/4/2016,899,scb_19814,0.41,870000,165333,704667,0,0.00%,0.41,1718700,870000,0,704667,Buy
27,1/4/2016,1022,scb_5394,1.83,220000,182288,37712,0,0.00%,1.83,0,182288,0,0,Sell
28,1/4/2016,1030,scb_8200,1.26,90000,21708,68292,0,0.00%,1.26,54200,90000,0,68292,Buy
29,1/4/2016,1058,scb_0320,0.75,990000,990000,0,0,0.00%,0.75,0,990000,0,0,Sell
30,1/4/2016,1207,scb_16665,0.34,130000,130000,0,0,0.00%,0.34,0,130000,0,0,Sell
31,1/4/2016,1218,scb_16536,3.96,530000,312750,217250,0,0.00%,3.96,0,312750,0,0,Sell
32,1/4/2016,1238,scb_9657,1.61,330000,62842,267158,0,0.00%,1.61,0,62842,0,0,Sell
33,1/4/2016,1305,scb_15889,3.6,410000,410000,0,0,0.00%,3.6,0,410000,0,0,Sell
34,1/4/2016,1315,scb_1551,1.72,250000,145202,104798,0,0.00%,1.72,61000,250000,0,104798,Buy
35,1/4/2016,1500,scb_15889,0.61,410000,57420,352580,0,0.00%,0.61,578000,410000,0,352580,Buy
36,1/4/2016,1700,scb_10355,1.75,250000,202702,47298,0,0.00%,1.75,12800,225102,0,22400,Buy
37,1/4/2016,1831,scb_16536,2.21,530000,184570,345430,0,0.00%,2.21,58000,312750,0,128180,Buy
38,1/4/2016,1848,scb_15889,7.96,410000,8068,401932,0,0.00%,7.96,6200,57420,0,49352,Buy
39,1/4/2016,1898,scb_16665,2.86,130000,130000,0,0,0.00%,2.86,0,130000,0,0,Sell
40,1/4/2016,2202,scb_16536,22.9,530000,184570,345430,0,0.00%,22.9,0,184570,0,0,Sell
41,1/4/2016,2236,scb_9657,0.79,330000,62842,267158,0,0.00%,0.79,0,62842,0,0,Sell
42,1/4/2016,2368,scb_1551,2.65,250000,84252,165748,0,0.00%,2.65,23000,145202,0,60950,Buy
43,1/4/2016,2686,scb_12203,1.38,70000,37,69962,0,0.00%,1.38,0,37,0,0,Buy
44,1/4/2016,3355,scb_5394,0.86,220000,165948,54052,0,0.00%,0.86,19000,182288,0,16340,Buy
45,1/4/2016,3383,scb_7021,4.16,650000,650000,0,0,0.00%,4.16,0,650000,0,0,Sell
46,1/4/2016,3618,scb_6350,4.58,530000,127418,402582,0,0.00%,4.58,87900,530000,0,402582,Buy
47,1/4/2016,3800,scb_16536,1.13,530000,108973,421027,0,0.00%,1.13,66900,184570,0,75597,Buy
48,1/4/2016,8022,scb_6350,0.22,530000,31036,498963,0,0.00%,0.22,440100,127418,0,96381,Buy
49,1/4/2016,8079,scb_12192,0.58,190000,190000,0,0,0.00%,0.58,0,190000,0,0,Sell
50,1/4/2016,8258,scb_19814,0.3,870000,33674,836325,0,0.00%,0.3,446300,165333,0,131658,Buy
51,1/5/2016,41,scb_19814,24.65,870000,6559,863440,0,0.00%,24.65,1100,33674,0,27115,Buy
52,1/5/2016,51,scb_19814,13.2,870000,1279,868720,0,0.00%,13.2,400,6559,0,5280,Buy
53,1/5/2016,100,scb_16471,7.81,270000,200491,69509,0,0.00%,7.81,8900,270000,0,69509,Buy
54,1/5/2016,151,scb_3763,5.55,920000,110660,809340,0,0.00%,5.61,0,110660,0,0,Sell
55,1/5/2016,156,scb_19814,0.26,870000,1279,868720,0,0.00%,0.26,0,1279,0,0,Sell
56,1/5/2016,164,scb_9657,0.25,330000,62842,267158,0,0.00%,0.25,0,62842,0,0,Sell
57,1/5/2016,177,scb_12203,10.12,70000,37,69962,0,0.00%,9.77,0,37,0,0,Buy
58,1/5/2016,195,scb_19814,0.31,870000,1279,868720,0,0.00%,0.3,0,1279,0,0,Sell
59,1/5/2016,196,scb_16536,0.48,530000,108973,421027,0,0.00%,0.48,0,108973,0,0,Sell
60,1/5/2016,290,scb_10355,0.11,250000,202702,47298,0,0.00%,0.11,0,202702,0,0,Sell
61,1/5/2016,328,scb_5394,2.56,219538,185198,34340,-0.06,-2.34%,2.5,7700,165948,-462,-19250,Sell
62,1/5/2016,334,scb_10355,1.18,249904,182461,67443,-0.01,-0.47%,1.17,17300,202702,-95,20241,Buy
63,1/5/2016,342,scb_7878,2.96,490000,470848,19152,0,0.00%,2.96,3200,480320,0,9472,Buy
64,1/5/2016,373,scb_18791,38.25,460000,10135,449865,0,0.00%,38.25,1300,59860,0,49725,Buy
65,1/5/2016,374,scb_16536,2.75,530000,64423,465577,0,0.00%,2.75,16200,108973,0,44550,Buy
66,1/5/2016,375,scb_12203,5,70000,37,69962,0,0.00%,5,0,37,0,0,Buy
67,1/5/2016,385,scb_5394,1,219538,168598,50940,0,0.00%,1,16600,185198,0,16600,Buy
68,1/5/2016,559,scb_1551,0.25,250000,84252,165748,0,0.00%,0.25,0,84252,0,0,Sell
69,1/5/2016,599,scb_1551,0.68,250000,49180,200820,0,0.00%,0.68,51200,84252,0,35072,Buy
70,1/5/2016,628,scb_18791,1.73,460000,1485,458515,0,0.00%,1.73,5000,10135,0,8650,Buy
71,1/5/2016,631,scb_10355,1.71,250000,164335,85665,0,0.00%,1.71,10600,182461,0,18126,Buy
72,1/5/2016,643,scb_10355,1.26,250000,164335,85665,0,0.00%,1.29,0,164335,0,0,Sell
73,1/5/2016,663,scb_12203,0.22,69999,16,69982,-0.01,-3.70%,0.21,100,37,0,20,Buy
74,1/5/2016,808,scb_8200,2.76,90000,5424,84576,0,0.00%,2.76,5900,21708,0,16283,Buy
75,1/5/2016,899,scb_19814,0.41,870011,283,869728,0,1.22%,0.42,2400,1279,11,996,Buy
76,1/5/2016,1022,scb_5394,1.83,219538,168598,50940,0,0.00%,1.83,0,168598,0,0,Sell
77,1/5/2016,1190,scb_1551,1.89,250000,28579,221421,0,0.00%,1.89,10900,49180,0,20601,Buy
78,1/5/2016,1207,scb_16665,0.34,130000,101406,28594,0,0.00%,0.34,84100,130000,0,28594,Buy
79,1/5/2016,1218,scb_16536,3.96,530000,64423,465577,0,0.00%,3.9,0,64423,0,0,Sell
80,1/5/2016,1259,scb_12203,0.74,70000,16,69983,0,0.00%,0.74,0,16,0,0,Sell
81,1/5/2016,1268,scb_5394,0.95,219538,168598,50940,0,0.00%,0.95,0,168598,0,0,Sell
82,1/5/2016,1290,scb_0320,0.82,990000,554416,435584,0,0.00%,0.82,531200,990000,0,435584,Buy
83,1/5/2016,1305,scb_15889,3.6,410000,8068,401932,0,0.00%,3.44,0,8068,0,0,Sell
84,1/5/2016,1315,scb_1551,1.72,239264,122641,116623,-0.18,-10.24%,1.54,61000,28579,-10735,-94062,Sell
85,1/5/2016,1439,scb_15889,0.95,410000,8068,401932,0,0.00%,0.95,0,8068,0,0,Sell
86,1/5/2016,1500,scb_15889,0.61,398440,349088,49351,-0.02,-3.28%,0.59,578000,8068,-11560,-341020,Sell
87,1/5/2016,1538,scb_16665,1.8,130000,101406,28594,0,0.00%,1.8,0,101406,0,0,Sell
88,1/5/2016,1700,scb_10355,1.75,250000,148060,101940,0,0.00%,1.75,9300,164335,0,16275,Buy
89,1/5/2016,1831,scb_18791,2.19,460000,390,459610,0,0.00%,2.19,500,1485,0,1095,Buy
90,1/5/2016,1848,scb_15889,7.74,397103,49169,347934,-0.03,-0.44%,7.71,38900,349088,-1336,299919,Buy
91,1/5/2016,2120,scb_19814,45,870000,283,869716,0,0.00%,45,0,283,0,0,Sell
92,1/5/2016,2202,scb_16536,22.9,530000,39233,490767,0,0.00%,22.9,1100,64423,0,25190,Buy
93,1/5/2016,2236,scb_9657,0.81,330000,11974,318026,0,0.00%,0.81,62800,62842,0,50868,Buy
94,1/5/2016,2368,scb_1551,2.65,237424,181751,55673,-0.08,-3.02%,2.57,23000,122641,-1840,-59109,Sell
95,1/5/2016,2662,scb_18791,1.35,460000,390,459610,0,0.00%,1.35,0,390,0,0,Sell
96,1/5/2016,3383,scb_7021,4.16,650000,650000,0,0,0.00%,4.19,0,650000,0,0,Sell
97,1/5/2016,3618,scb_6350,4.58,527363,430981,96381,-0.03,-0.66%,4.55,87900,31036,-2637,-399945,Sell
98,1/5/2016,3709,scb_7878,10.56,490000,470848,19152,0,0.00%,10.56,0,470848,0,0,Sell
99,1/5/2016,3800,scb_16536,1.13,531338,116168,415170,0.02,1.77%,1.15,66900,39233,1338,-76935,Sell
100,1/5/2016,8022,scb_6350,0.22,526683,107911,418772,0,-0.21%,0.22,1488800,430981,-679,323069,Buy
101,1/5/2016,8079,scb_12192,0.58,190000,159608,30391,0,0.00%,0.58,52400,190000,0,30391,Buy
102,1/5/2016,8258,scb_19814,0.3,872231,134173,738058,0.01,1.69%,0.3,446300,283,2231,-133890,Sell
103,1/6/2016,100,scb_16471,7.81,270712,270712,0,0.08,1.02%,7.89,8900,200491,712,-70221,Sell
104,1/6/2016,151,scb_3763,5.55,920000,110660,809340,0,0.00%,5.61,0,110660,0,0,Sell
105,1/6/2016,156,scb_19814,0.27,872231,25498,846733,0,0.00%,0.27,402500,134173,0,108675,Buy
106,1/6/2016,164,scb_9657,0.25,330000,11974,318026,0,0.00%,0.24,0,11974,0,0,Sell
107,1/6/2016,174,scb_7878,1.1,489560,480088,9472,-0.05,-4.55%,1.05,8800,470848,-440,-9240,Sell
108,1/6/2016,195,scb_19814,0.31,872231,25498,846733,0,0.00%,0.3,0,25498,0,0,Sell
109,1/6/2016,196,scb_16536,0.48,531338,116168,415170,0,0.00%,0.47,0,116168,0,0,Sell
110,1/6/2016,227,scb_12203,1.21,70212,6641,63570,0.04,3.31%,1.25,5300,16,212,-6625,Sell
111,1/6/2016,276,scb_9657,0.17,330000,11974,318026,0,0.00%,0.18,0,11974,0,0,Sell
112,1/6/2016,290,scb_10355,0.12,250000,133880,116119,0,0.00%,0.12,123300,148060,0,14179,Buy
113,1/6/2016,328,scb_5394,2.5,219538,168598,50940,0,0.00%,2.51,0,168598,0,0,Sell
114,1/6/2016,337,scb_3763,2.83,921515,13367,908148,0.04,1.58%,2.87,33900,110660,1515,97293,Buy
115,1/6/2016,342,scb_7878,2.98,489608,470520,19088,0.02,0.50%,2.99,3200,480088,48,9568,Buy
116,1/6/2016,373,scb_18791,38.25,460000,390,459610,0,0.00%,38.25,0,390,0,0,Buy
117,1/6/2016,374,scb_16536,2.75,531338,377968,153370,0,0.00%,2.75,95200,116168,0,-261800,Sell
118,1/6/2016,375,scb_12203,5,70212,6641,63570,0,0.00%,5,0,6641,0,0,Sell
119,1/6/2016,385,scb_5394,1,219538,203198,16340,0,0.00%,1,34600,168598,0,-34600,Sell
120,1/6/2016,423,scb_12203,1.58,70216,7277,62938,0.01,0.63%,1.59,400,6641,4,-636,Sell
121,1/6/2016,559,scb_1551,0.25,237424,105426,131998,0,0.00%,0.25,305300,181751,0,76325,Buy
122,1/6/2016,599,scb_1551,0.68,237680,140754,96926,0,0.73%,0.69,51200,105426,255,-35328,Sell
123,1/6/2016,628,scb_18791,1.73,460000,9040,450960,0,0.00%,1.73,5000,390,0,-8650,Sell
124,1/6/2016,631,scb_10355,1.71,249894,151900,97993,-0.01,-0.58%,1.7,10600,133880,-106,-18020,Sell
125,1/6/2016,633,scb_18791,2.6,496935,446116,50819,0.24,9.23%,2.84,153900,9040,36935,-437076,Sell
126,1/6/2016,643,scb_10355,1.37,249894,136830,113063,0,0.00%,1.37,11000,151900,0,15070,Buy
127,1/6/2016,663,scb_12203,0.19,70193,741,69451,0,-0.35%,0.19,34400,7277,-22,6536,Buy
128,1/6/2016,674,scb_16471,0.61,270712,201310,69401,0,0.00%,0.61,113500,270712,0,69401,Buy
129,1/6/2016,685,scb_16665,1.15,130000,79211,50789,0,0.00%,1.15,19300,101406,0,22195,Buy
130,1/6/2016,899,scb_19814,0.41,898036,756966,141069,0.01,3.66%,0.42,1721100,25498,25804,-731467,Sell
131,1/6/2016,1022,scb_5394,1.9,219538,184958,34580,0,0.00%,1.9,9600,203198,0,18240,Buy
132,1/6/2016,1030,scb_8200,1.26,90060,1328,88732,0.02,1.50%,1.28,3200,5424,60,4096,Buy
133,1/6/2016,1058,scb_0320,0.75,990000,554416,435584,0,0.00%,0.77,0,554416,0,0,Sell
134,1/6/2016,1151,scb_15889,6.25,398440,49169,349271,0,0.00%,6.25,0,49169,0,0,Sell
135,1/6/2016,1190,scb_1551,1.9,237760,81664,156096,0,0.14%,1.9,31100,140754,80,59090,Buy
136,1/6/2016,1201,scb_12192,1.01,190000,134256,55743,0,0.00%,1.01,25000,159608,0,25351,Buy
137,1/6/2016,1218,scb_16536,3.84,531338,223216,308122,0,0.00%,3.84,40300,377968,0,154752,Buy
138,1/6/2016,1290,scb_0320,0.82,990000,990000,0,0,0.00%,0.82,531200,554416,0,-435584,Sell
139,1/6/2016,1439,scb_15889,0.95,398440,49169,349271,0,0.00%,0.95,0,49169,0,0,Sell
140,1/6/2016,1500,scb_15889,0.6,398440,6929,391511,0,0.00%,0.6,70400,49169,0,42240,Buy
141,1/6/2016,1700,scb_10355,1.75,249673,175284,74388,-0.01,-0.57%,1.74,22100,136830,-221,-38454,Sell
142,1/6/2016,1831,scb_16536,2.21,533078,353136,179942,0.03,1.36%,2.24,58000,223216,1740,-129920,Sell
143,1/6/2016,1831,scb_18791,2.24,496960,59939,437020,0,0.01%,2.24,172400,446116,24,386176,Buy
144,1/6/2016,1848,scb_15889,7.74,401851,359611,42240,0.08,0.98%,7.82,45100,6929,3411,-352682,Sell
145,1/6/2016,1898,scb_16665,3.06,130000,62075,67925,0,0.00%,3.06,5600,79211,0,17136,Buy
146,1/6/2016,1928,scb_16536,25.45,533078,353136,179942,0,0.00%,25.45,0,353136,0,0,Sell
147,1/6/2016,2202,scb_16536,21.09,531085,209616,321469,-0.29,-1.37%,20.8,6900,353136,-1992,143519,Buy
148,1/6/2016,2236,scb_9657,0.81,329898,2294,327604,-0.01,-1.04%,0.8,12100,11974,-101,9680,Buy
149,1/6/2016,2283,scb_16536,2.22,533078,124146,408931,0,0.00%,2.22,38500,209616,0,85470,Buy
150,1/6/2016,2324,scb_15889,0.57,401851,359611,42240,0,0.00%,0.57,0,359611,0,0,Sell
151,1/6/2016,2386,scb_6350,6.38,527363,26247,501115,0,0.00%,6.38,12800,107911,0,81664,Buy
152,1/6/2016,2600,scb_18791,2.46,496936,59939,436996,0,0.00%,2.46,0,59939,0,0,Sell
153,1/6/2016,2686,scb_12203,1.38,70216,741,69474,0,0.00%,1.36,0,741,0,0,Sell
154,1/6/2016,2802,scb_9657,36.9,330000,2294,327706,0,0.00%,36.9,0,2294,0,0,Buy
155,1/6/2016,3355,scb_5394,0.86,219158,200918,18240,-0.02,-2.33%,0.84,19000,184958,-380,-15960,Sell
156,1/6/2016,3618,scb_6350,4.38,527363,6537,520825,0,0.00%,4.38,4500,26247,0,19710,Buy
157,1/6/2016,3633,scb_15889,1.99,401851,359611,42240,0,0.00%,1.99,0,359611,0,0,Sell
158,1/6/2016,3709,scb_7878,10.1,489560,461430,28130,0,0.00%,10.1,900,470520,0,9090,Buy
159,1/6/2016,6838,scb_10355,0.79,249673,175284,74388,0,0.00%,0.79,0,175284,0,0,Sell
160,1/6/2016,8022,scb_6350,0.22,505264,403890,101374,-0.01,-5.27%,0.21,1928900,6537,-22098,-397353,Sell
161,1/6/2016,8079,scb_12192,0.58,188952,163600,25351,-0.02,-3.45%,0.56,52400,134256,-1047,-29344,Sell
162,1/6/2016,8258,scb_19814,0.3,898036,154045,743991,0,0.00%,0.3,2043800,756966,0,602921,Buy
163,1/7/2016,51,scb_19814,13.1,897997,29595,868402,0,-0.03%,13.1,9500,154045,-38,124450,Buy
164,1/7/2016,151,scb_3763,5.55,920000,13367,906633,0,0.00%,5.5,0,13367,0,0,Sell
165,1/7/2016,154,scb_2767,1.73,983134,14304,968830,-0.11,-6.16%,1.62,64600,118956,-6865,104652,Buy
166,1/7/2016,156,scb_19814,0.27,889986,130220,759766,-0.02,-7.41%,0.25,402500,29595,-8050,-100625,Sell
167,1/7/2016,164,scb_9657,0.25,330000,2294,327706,0,0.00%,0.2,0,2294,0,0,Sell
168,1/7/2016,174,scb_7878,1.03,489560,452263,37297,0,0.00%,1.03,8900,461430,0,9167,Buy
169,1/7/2016,195,scb_19814,0.28,889986,26565,863420,0,0.00%,0.28,363700,130220,0,103654,Buy
170,1/7/2016,196,scb_16536,0.48,533078,124146,408931,0,0.00%,0.44,0,124146,0,0,Sell
171,1/7/2016,227,scb_12203,1.21,70216,136,70079,0,0.00%,1.21,500,741,0,605,Buy
172,1/7/2016,328,scb_5394,2.44,219158,182862,36296,0,0.00%,2.44,7400,200918,0,18056,Buy
173,1/7/2016,342,scb_7878,2.98,489080,470823,18257,-0.08,-2.52%,2.9,6400,452263,-480,-18560,Sell
174,1/7/2016,373,scb_18791,38.25,496936,109664,387271,0,0.00%,38.25,1300,59939,0,-49725,Sell
175,1/7/2016,374,scb_16536,2.7,533078,73386,459691,0,0.00%,2.7,18800,124146,0,50760,Buy
176,1/7/2016,375,scb_12203,5,70216,136,70079,0,0.00%,4.85,0,136,0,0,Sell
177,1/7/2016,423,scb_12203,1.59,70216,136,70079,0,0.00%,1.53,0,136,0,0,Sell
178,1/7/2016,599,scb_1551,0.66,237680,47682,189997,0,0.00%,0.66,51100,81664,0,33981,Buy
179,1/7/2016,631,scb_10355,1.63,249673,157843,91829,0,0.00%,1.63,10700,175284,0,17441,Buy
180,1/7/2016,643,scb_10355,1.37,248903,172143,76759,-0.07,-5.11%,1.3,11000,157843,-770,-14300,Sell
181,1/7/2016,663,scb_12203,0.19,69663,6314,63348,-0.02,-8.21%,0.18,35300,136,-552,-6177,Sell
182,1/7/2016,674,scb_16471,0.6,268904,149400,119504,-0.02,-3.37%,0.58,90200,201310,-1807,51910,Buy
183,1/7/2016,685,scb_16665,1.15,129421,83691,45730,-0.03,-2.61%,1.12,19300,62075,-578,-21616,Sell
184,1/7/2016,808,scb_9657,2.78,329982,644,329338,-0.03,-1.07%,2.75,600,2294,-17,1650,Buy
185,1/7/2016,862,scb_19814,0.36,889986,5539,884446,0,0.00%,0.36,58100,26565,0,21026,Buy
186,1/7/2016,1022,scb_5394,1.86,218786,166482,52304,-0.04,-2.22%,1.82,9000,182862,-371,16380,Buy
187,1/7/2016,1030,scb_8200,1.26,86492,70208,16284,-0.06,-4.85%,1.2,57400,1328,-3507,-68880,Sell
188,1/7/2016,1058,scb_0320,0.71,990000,554415,435585,0,0.00%,0.71,613500,990000,0,435585,Buy
189,1/7/2016,1151,scb_15889,6.25,401851,359611,42240,0,0.00%,6.25,0,359611,0,0,Sell
190,1/7/2016,1201,scb_12192,1.01,187967,187967,0,-0.04,-3.88%,0.97,25000,163600,-984,-24366,Sell
191,1/7/2016,1238,scb_9657,1.61,330000,644,329356,0,0.00%,1.57,0,644,0,0,Sell
192,1/7/2016,1268,scb_5394,0.95,219158,166482,52676,0,0.00%,0.86,0,166482,0,0,Sell
193,1/7/2016,1290,scb_0320,0.78,990000,310509,679491,0,0.00%,0.78,312700,554415,0,243906,Buy
194,1/7/2016,1305,scb_15889,3.6,401851,359611,42240,0,0.00%,3.4,0,359611,0,0,Sell
195,1/7/2016,1315,scb_1551,1.51,237680,27750,209929,0,0.00%,1.51,13200,47682,0,19932,Buy
196,1/7/2016,1439,scb_15889,0.95,401851,359611,42240,0,0.00%,0.95,0,359611,0,0,Sell
197,1/7/2016,1500,scb_15889,0.6,399739,399739,0,-0.03,-5.00%,0.57,70400,359611,-2112,-40128,Sell
198,1/7/2016,1538,scb_16665,1.8,129421,83691,45730,0,0.00%,1.73,0,83691,0,0,Sell
199,1/7/2016,1700,scb_10355,1.74,248903,172143,76759,0,0.00%,1.72,0,172143,0,0,Sell
200,1/7/2016,1831,scb_18791,2.24,486586,486586,0,-0.06,-2.67%,2.18,172900,109664,-10349,-376922,Sell
201,1/7/2016,1848,scb_15889,7.42,399739,56193,343546,0,0.00%,7.42,46300,399739,0,343546,Buy
202,1/7/2016,1898,scb_16665,2.93,128668,65426,63242,-0.12,-3.95%,2.81,6500,83691,-752,18265,Buy
203,1/7/2016,1928,scb_16536,25.45,533078,73386,459691,0,0.00%,23.6,0,73386,0,0,Sell
204,1/7/2016,2202,scb_16536,20.92,531765,43311,488454,-0.87,-4.18%,20.05,1500,73386,-1312,30074,Buy
205,1/7/2016,2236,scb_9657,0.81,329971,188,329783,-0.05,-5.94%,0.76,600,644,-28,456,Buy
206,1/7/2016,2324,scb_15889,0.55,399739,8782,390956,0,0.00%,0.55,86200,56193,0,47410,Buy
207,1/7/2016,2368,scb_1551,2.43,237680,16329,221350,0,0.00%,2.43,4700,27750,0,11421,Buy
208,1/7/2016,2386,scb_6350,6.38,502576,482866,19710,-0.21,-3.29%,6.17,12800,403890,-2687,-78976,Sell
209,1/7/2016,2600,scb_18791,2.46,486586,486586,0,0,0.00%,2.31,0,486586,0,0,Sell
210,1/7/2016,2662,scb_18791,1.35,486586,486586,0,0,0.00%,1.29,0,486586,0,0,Sell
211,1/7/2016,2802,scb_9657,36.9,330000,188,329812,0,0.00%,35.85,0,188,0,0,Sell
212,1/7/2016,3383,scb_7021,4.04,650000,39152,610848,0,0.00%,4.04,151200,650000,0,610848,Buy
213,1/7/2016,3633,scb_15889,1.99,399739,8782,390956,0,0.00%,1.89,0,8782,0,0,Sell
214,1/7/2016,3709,scb_7878,10.11,489089,461715,27374,0.01,0.10%,10.12,900,470823,8,9108,Buy
215,1/7/2016,3800,scb_16536,1.15,533078,43311,489766,0,0.00%,1.11,0,43311,0,0,Sell
216,1/7/2016,6838,scb_10355,0.79,248903,172143,76759,0,0.00%,0.73,0,172143,0,0,Sell
217,1/7/2016,8022,scb_6350,0.21,502576,482866,19710,0,0.00%,0.2,0,482866,0,0,Sell
218,1/7/2016,8258,scb_19814,0.3,869548,588022,281525,-0.01,-3.39%,0.28,2043800,5539,-20438,-582483,Sell
219,1/8/2016,41,scb_19814,23.65,868452,113662,754790,-0.05,-0.23%,23.6,20100,588022,-1095,474360,Buy
220,1/8/2016,51,scb_19814,13.1,872478,246322,626155,0.3,2.26%,13.4,9900,113662,2930,-132660,Sell
221,1/8/2016,100,scb_16471,7.89,270712,149400,121311,0,0.00%,7.6,0,149400,0,0,Sell
222,1/8/2016,151,scb_3763,5.55,920000,13367,906633,0,0.00%,5.28,0,13367,0,0,Sell
223,1/8/2016,154,scb_2767,1.73,989661,1872,987789,-0.05,-2.65%,1.68,7400,14304,-338,12432,Buy
224,1/8/2016,156,scb_19814,0.25,872478,246322,626155,0,0.00%,0.26,0,246322,0,0,Sell
225,1/8/2016,164,scb_9657,0.25,330000,188,329812,0,0.00%,0.2,0,188,0,0,Sell
226,1/8/2016,177,scb_12203,10.05,69236,710,68526,-0.71,-7.08%,9.34,600,6314,-426,5604,Buy
227,1/8/2016,196,scb_16536,0.48,533078,43311,489766,0,0.00%,0.46,0,43311,0,0,Sell
228,1/8/2016,276,scb_9657,0.17,330000,48,329951,0,0.00%,0.17,800,188,0,139,Buy
229,1/8/2016,290,scb_10355,0.11,248489,155095,93393,0,-2.37%,0.11,156400,172143,-413,17047,Buy
230,1/8/2016,328,scb_5394,2.47,219354,151732,67622,0.03,1.35%,2.5,5900,166482,196,14750,Buy
231,1/8/2016,334,scb_10355,1.18,247540,198871,48668,-0.04,-3.02%,1.14,38400,155095,-1363,-43775,Sell
232,1/8/2016,337,scb_3763,2.82,919326,1619,917707,-0.15,-5.43%,2.67,4400,13367,-673,11748,Buy
233,1/8/2016,373,scb_18791,38.25,486586,486586,0,0,0.00%,37.8,0,486586,0,0,Sell
234,1/8/2016,374,scb_16536,2.7,533078,25761,507316,0,0.00%,2.7,6500,43311,0,17550,Buy
235,1/8/2016,375,scb_12203,5,69663,710,68953,0,0.00%,4.75,0,710,0,0,Sell
236,1/8/2016,423,scb_12203,1.59,69663,710,68953,0,0.00%,1.55,0,710,0,0,Sell
237,1/8/2016,559,scb_1551,0.25,237680,9479,228200,0,0.00%,0.25,27400,16329,0,6850,Buy
238,1/8/2016,599,scb_1551,0.66,237424,43205,194219,-0.01,-0.75%,0.66,51100,9479,-255,-33726,Sell
239,1/8/2016,628,scb_18791,1.73,486586,63428,423158,0,0.00%,1.73,244600,486586,0,423158,Buy
240,1/8/2016,633,scb_18791,2.92,486586,8532,478054,0,0.00%,2.92,18800,63428,0,54896,Buy
241,1/8/2016,643,scb_10355,1.58,247540,179121,68418,0,0.00%,1.58,12500,198871,0,19750,Buy
242,1/8/2016,674,scb_16471,0.59,269702,110899,158803,-0.02,-2.55%,0.58,66900,149400,-1009,38500,Buy
243,1/8/2016,685,scb_16665,1.17,129421,51035,78386,0,0.00%,1.17,12300,65426,0,14391,Buy
